
time;ax;ay;az;Latitude;Longitude;Speed (m/s);Altitude (m);
0,064049;0,2679;0,2622;0,1812;0,00000000;0,00000000;0,00000000;210,80957031;
0,164343;-0,1678;0,3894;0,0583;55,75444179;48,74209271;0,00000000;210,80957031;
0,265696;0,4643;0,1476;-1,4836;55,75444179;48,74209271;0,00000000;210,80957031;
0,364986;-0,1538;0,2174;-0,6353;55,75444179;48,74209271;0,00000000;210,49853516;
0,466360;-0,4458;-0,7593;1,3852;55,75443777;48,74209356;0,00000000;210,49853516;
0,566581;-0,2913;-0,1778;2,4106;55,75443777;48,74209356;0,00000000;210,49853516;
0,666820;0,0676;0,2041;1,2920;55,75443777;48,74209356;0,00000000;210,49853516;
0,767269;0,4090;0,7366;-0,2657;55,75443777;48,74209356;0,00000000;210,49853516;
0,868166;0,5449;0,5797;-0,6640;55,75443777;48,74209356;0,00000000;210,49853516;
0,968365;0,4428;0,5679;-0,6981;55,75443777;48,74209356;0,00000000;210,49853516;
1,069189;0,5972;-0,1910;-0,1788;55,75443777;48,74209356;0,00000000;210,49853516;
1,169978;-0,1778;0,1463;0,1389;55,75443777;48,74209356;0,00000000;210,49853516;
1,271602;-0,2653;0,5172;0,4476;55,75443777;48,74209356;0,00000000;210,49853516;
1,369880;-0,3746;0,6507;-0,1610;55,75443777;48,74209356;0,00000000;209,82312012;
1,471375;-0,8737;1,0064;0,8574;55,75442809;48,74210085;0,00000000;209,82312012;
1,571759;-0,1298;0,7410;-0,0264;55,75442809;48,74210085;0,00000000;209,82312012;
1,672515;-0,9785;0,6957;0,1489;55,75442809;48,74210085;0,00000000;209,82312012;
1,772571;-2,4024;0,7670;0,6666;55,75442809;48,74210085;0,00000000;209,82312012;
1,873305;0,1666;2,0573;2,5003;55,75442809;48,74210085;0,00000000;209,82312012;
1,973158;-0,1122;-0,5189;2,5027;55,75442809;48,74210085;0,00000000;209,82312012;
2,073947;-0,4939;-2,2245;-2,5012;55,75442809;48,74210085;0,00000000;209,82312012;
2,175037;-0,4168;-0,8640;-1,4795;55,75442809;48,74210085;0,00000000;209,82312012;
2,275729;-0,2592;-0,1571;-1,3893;55,75442809;48,74210085;0,00000000;209,82312012;
2,376816;0,3935;0,6456;-1,0985;55,75442809;48,74210085;0,00000000;209,82312012;
2,475522;0,1256;0,5011;1,1818;55,75442809;48,74210085;0,00000000;209,82312012;
2,577393;-0,5552;1,2907;0,2408;55,75442809;48,74210085;0,00000000;209,82312012;
2,676634;-0,1627;-1,6287;-0,0518;55,75442809;48,74210085;0,00000000;209,82312012;
2,778454;1,1699;-1,6047;0,5558;55,75442809;48,74210085;0,00000000;209,82312012;
2,879360;1,0648;1,8371;-2,6800;55,75442809;48,74210085;0,00000000;209,82312012;
2,979871;0,2590;0,9126;-0,0265;55,75442809;48,74210085;0,00000000;209,82312012;
3,079266;-2,1341;0,6971;0,7083;55,75442809;48,74210085;0,00000000;209,82312012;
3,182562;0,2577;1,6382;1,8168;55,75442809;48,74210085;0,00000000;209,82312012;
3,281468;-0,9158;-3,9691;1,3531;55,75442809;48,74210085;0,00000000;209,82312012;
3,380102;-0,0865;-0,1676;-1,6601;55,75442809;48,74210085;0,00000000;208,86248779;
3,481729;-1,6928;-0,3989;-2,0562;55,75440736;48,74210089;1,22000003;208,86248779;
3,583923;0,9706;1,4656;-2,2299;55,75440736;48,74210089;1,22000003;208,86248779;
3,682532;0,5975;-0,3968;-0,8777;55,75440736;48,74210089;1,22000003;208,86248779;
3,784223;-0,1723;2,1888;2,0202;55,75440736;48,74210089;1,22000003;208,86248779;
3,883468;-0,3559;-2,8987;1,0134;55,75440736;48,74210089;1,22000003;208,86248779;
3,985983;1,1828;-0,4996;-1,2438;55,75440736;48,74210089;1,22000003;208,86248779;
4,085450;0,3616;0,3960;-2,3088;55,75440736;48,74210089;1,22000003;208,86248779;
4,186162;0,2137;1,5226;-1,1090;55,75440736;48,74210089;1,22000003;208,86248779;
4,286546;-0,9926;-0,7027;1,8556;55,75440736;48,74210089;1,22000003;208,86248779;
4,385361;0,6232;-0,6328;3,8625;55,75440736;48,74210089;1,22000003;208,90478516;
4,486583;1,6686;-2,2623;1,1330;55,75439345;48,74209746;1,26999998;208,90478516;
4,587163;0,4803;0,9950;-3,3787;55,75439345;48,74209746;1,26999998;208,90478516;
4,688475;-0,7370;0,7946;-2,9350;55,75439345;48,74209746;1,26999998;208,90478516;
4,788473;-2,6519;-0,4905;-0,9211;55,75439345;48,74209746;1,26999998;208,90478516;
4,889025;-2,0978;-0,4179;5,2487;55,75439345;48,74209746;1,26999998;208,90478516;
